,Country (or dependency),Population (2020),Population (2019),Land Area (Km²),Migrants (net),Fert. Rate,Med. Age,Net population change,Population change [%],Density (2020)
0,China,1440297825,1445837915,9388211,-348399.0,,38.0,-5540090,-0.0038391056409564435,Low
2,United States,331341050,333278784,9147420,954806.0,,38.0,-1937734,-0.00583110494412359,Low
4,Pakistan,221612785,225939807,770880,-233379.0,,23.0,-4327022,-0.019336373321685512,Low
6,Nigeria,206984347,212160337,910770,-60000.0,,18.0,-5175990,-0.024697867813110567,Low
8,Russia,145945524,146007730,16376870,182456.0,,40.0,-62206,-0.0004261367129684398,Low
10,Japan,126407422,126023582,364555,71560.0,,48.0,383840,0.0030411478298442295,Low
12,Philippines,109830324,111294787,298170,-67152.0,,26.0,-1464463,-0.013245560338011542,Low
14,Vietnam,97490013,98366486,310070,-80000.0,,32.0,-876473,-0.008950154878444957,Low
16,Turkey,84495243,85404695,769630,283922.0,,32.0,-909452,-0.010705736690733813,Low
18,Germany,83830972,84097869,348560,543822.0,,46.0,-266897,-0.0031786916221258265,Low
20,United Kingdom,67948282,68304121,241930,260650.0,,40.0,-355839,-0.005223232650069298,Low
22,Italy,60446035,60357786,294140,148943.0,,47.0,88249,0.0014610299454021409,Low
24,South Africa,59436725,60187145,1213090,145405.0,,28.0,-750420,-0.012546325411475151,Low
26,Kenya,53968739,55166062,569140,-10000.0,,20.0,-1197323,-0.021942093429940832,Low
28,Colombia,50976248,51519696,1109500,204796.0,,31.0,-543448,-0.010604283033873028,Low
30,Uganda,45974931,47446344,199810,168694.0,,17.0,-1471413,-0.03150059769576041,Low
32,Algeria,43984569,44782559,2381740,-10000.0,,29.0,-797990,-0.0179794033665255,Low
34,Ukraine,43686577,43426701,579320,10000.0,,41.0,259876,0.005966392402315523,Low
36,Afghanistan,39074280,39960872,652860,-62920.0,,18.0,-886592,-0.022435384194617606,Low
38,Canada,37799407,38130514,9093510,242032.0,,41.0,-331107,-0.008721384024619227,Low
40,Saudi Arabia,34905942,35451285,2149690,134979.0,,32.0,-545343,-0.015502117501020898,Low
42,Peru,33050211,33511612,1280000,99069.0,,31.0,-461401,-0.01386383302632802,Low
